isin,fund_name,category,fund_type,risk_rating,performance_rating,investment_strategy,dividend_frequency,roe,asset_stock,asset_bond,country_exposure,ongoing_cost,management_fees,nav_per_share_currency,nav_per_share,latest_nav_date,fund_trailing_return_ytd,fund_trailing_return_3years,fund_trailing_return_5years,fund_trailing_return_10years,long_term_projected_earnings_growth,historical_earnings_growth
CH0008899764,iShares SMI® ETF (CH),Switzerland Equity,equity,3.0,3.0,"The Fund aims to achieve a return on your investment which reflects the return of the Swiss Market Index (SMI), the Fund's benchmark index. The benchmark is weighted in accordance with the free-float value of Swiss equities with a high market capitalization. It comprises the 20 largest, most liquid stocks on the Swiss equity market, and represents around 85% of the total market capitalization. The index is calculated on a real-time basis in CHF.",Annually,22.69,99.81,0.0,CHE: 100.0,0.35,0.0,CHF,108.8,2020-11-13,8.69,10.75,12.12,10.96,6.99,6.24
SE0000693293,XACT OMXS30 UCITS ETF,Sweden Equity,equity,2.0,2.0,"The fund is an exchange-traded index fund and its objective is to follow the performance of the OMXS30TM Index as closely as possible. The index consists of the 30 most-traded shares on the Nasdaq OMX Nordic Exchange Stockholm (Stockholm stock exchange). The index is market-value weighted and is rebalanced twice each year. The index will be replicated through physical replication. The method selected for replication means that the fund invests directly in those equities included in the index, i.e., full replication. Tracking error is expected to be less than 0.2% under normal market conditions. The management fee, as well as customer flows, index rebalancing and corporate events all result in transaction costs for the fund, which are not present in the index. These are the main factors that impact the funds ability to replicate the index.",Acc,16.14,99.99,0.0,"SWE: 91.54, GBR: 3.05, CHE: 2.8, FIN: 2.62",0.1,0.1,SEK,241.2,2020-11-13,17.61,6.91,11.88,8.85,7.6,8.97
DE000A0H08N1,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),Sector Equity Consumer Goods & Services,equity,3.0,3.0,"iShares STOXX Europe 600 Personal & Household Goods (DE) is an exchange traded fund (ETF) that aims to track the performance of the STOXX Europe 600 Personal & Household Goods Index as closely as possible. The ETF invests in physical index securities. The STOXX Europe 600 Personal & Household Goods Index offers exposure to the European Personal and Household Goods sector as defined by the Industry Classification Benchmark (ICB). It is a sub index of the STOXX Europe 600 Index. The STOXX Europe 600 Index offers exposure to large, mid and small capitalisation stocks from European developed countries. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,14.88,99.46,0.0,"GBR: 32.85, FRA: 32.11, DEU: 11.32, NLD: 9.56, SWE: 5.55, CHE: 5.5, DNK: 1.05, ITA: 1.05, POL: 1.01",0.46,0.0,EUR,88.66,2020-11-13,8.9,5.41,11.07,11.52,4.95,-10.14
LU0147308422,UBS ETF - MSCI EMU UCITS ETF (EUR) A-dis,Eurozone Large-Cap Equity,equity,3.0,4.0,"The sub-fund aims to track, before expenses, the price and income performance of the MSCI EMU Index (Net Return) (this sub-fund's ""index""). The index is rebalanced on a quarterly basis and may also be rebalanced at other times in order to comply with applicable investment restrictions or to reflect corporate activity such as mergers and acquisitions.",Annually,10.04,99.3,0.0,"FRA: 32.53, DEU: 27.82, NLD: 14.65, ESP: 7.48, ITA: 6.55, FIN: 3.13, BEL: 2.86, GBR: 1.74, USA: 1.68, AUT: 0.54, PRT: 0.49, SGP: 0.45, LUX: 0.08",0.2,0.18,EUR,121.28,2020-11-13,0.17,1.67,9.2,6.76,10.44,-1.07
LU0136240974,UBS ETF - MSCI Japan UCITS ETF (JPY) A-dis,Japan Large-Cap Equity,equity,2.0,3.0,"The sub-fund aims to track, before expenses, the price and income performance of the price of the MSCI Japan Index (Net Return) (this sub-fund's ""index""). The index is rebalanced on a quarterly basis and may also be rebalanced at other times in order to comply with applicable investment restrictions or to reflect corporate activity such as mergers and acquisitions.",Annually,8.75,99.63,0.0,JPN: 100.0,0.22,0.19,JPY,5220.0,2020-11-13,7.68,3.97,9.83,8.22,9.43,-3.99
FR0007075494,Lyxor DJ Global Titans 50 UCITS ETF Dist,Global Large-Cap Blend Equity,equity,3.0,5.0,"The Lyxor DJ Global Titans 50 UCITS ETF is a UCITS compliant exchange traded fund that aims to track the benchmark index Dow Jones Global Titans 50 EUR.The Dow Jones Global Titans 50 EUR is a 50-stock index that reflects the market performance of the worlds leading multinational companies. Stocks are selected from the Dow Jones Global Index SM, a broad market benchmark that covers 51 countries. Criteria for DJGT stock selection include float-adjusted market capitalization, sales/revenue and net income. The index is calculated in both U.S. dollars and Euros.Lyxor ETFs are efficient investment vehicles listed on exchange that offer transparent, liquid and low-cost exposure to the underlying benchmark index.",Annually,31.07,100.0,0.0,"USA: 83.43, CHE: 5.3, KOR: 2.06, GBR: 2.02, TWN: 2.02, DEU: 1.49, JPN: 1.17, FRA: 0.73, CAN: 0.7, NLD: 0.58, AUS: 0.49",0.4,0.4,EUR,44.53,2020-11-13,14.52,13.34,17.01,13.33,9.64,10.91
FR0007056841,Lyxor Dow Jones Industrial Average UCITS ETF Dist,US Large-Cap Blend Equity,equity,2.0,3.0,"The Lyxor Dow Jones Industrial Average UCITS ETF is a UCITS compliant exchange traded fund that aims to track the benchmark index Dow Jones Industrial Average Net Total Return.The Dow Jones Industrial Average Net Total Return represents large and well-known U.S. companies, covering all industries with the exception of Transportation and Utilities. The Dow Jones Industrial Average is a price-weighted index. The Dow Jones Industrial Average is an index based on the values of 30 securities of large American companies. It is calculated using a mathematical average of the stock prices of the 30 securities. The capitalisation of the shares included in the Dow Jones Industrial Average represents approximately 20% of the capitalisation of American equities. The index is price weighted.Lyxor ETFs are efficient investment vehicles listed on exchange that offer transparent, liquid and low-cost exposure to the underlying benchmark index.",Annually,28.57,100.0,0.0,USA: 100.0,0.5,0.5,EUR,248.55,2020-11-13,5.16,9.39,16.34,14.37,7.56,13.87
IE0005042456,iShares Core FTSE 100 UCITS ETF GBP (Dist),UK Large-Cap Equity,equity,2.0,3.0,"The fund is an exchange traded fund (ETF) that aims to track the performance of the FTSE 100 Index as closely as possible. The ETF invests in physical index securities. The FTSE 100 Index offers exposure to the 100 largest UK stocks by full market value. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,12.18,98.2,0.0,"GBR: 91.86, USA: 4.82, CHE: 1.53, NLD: 0.65, RUS: 0.35, ESP: 0.34, CHN: 0.18, MEX: 0.13, DEU: 0.06, FRA: 0.02, ITA: 0.02, SWE: 0.02, BRA: 0.01, CAN: 0.01",0.07,0.0,GBX,621.9,2020-11-13,-13.98,-1.46,4.63,4.58,6.63,-6.67
DE0005933964,iShares SLI UCITS ETF (DE),Switzerland Equity,equity,4.0,2.0,"iShares SMI (DE) is an exchange traded fund (ETF) that aims to track the performance of the SMI Index as closely as possible. The ETF invests in physical index securities. The SMI Index offers exposure to the 20 largest and most liquid Swiss stocks listed on the Swiss stock Exchange. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,20.01,98.75,0.0,"CHE: 99.21, TWN: 0.79",0.51,0.0,CHF,111.62,2020-11-13,8.88,8.3,11.82,10.4,6.93,6.82
DE000A0Q4R36,iShares STOXX Europe 600 Health Care UCITS ETF (DE),Sector Equity Healthcare,equity,2.0,2.0,"The investment seeks to replicate, net of expenses, the STOXX Europe 600 Health Care TR index as closely as possible. The fund invests in physical index securities. The index offers exposure to the European Health care sector as defined by the Industry Classification Benchmark (ICB). It is a sub index of the Europe STOXX 600 index.",Quarterly,24.49,99.24,0.0,"CHE: 37.63, GBR: 18.42, DNK: 13.01, FRA: 12.6, DEU: 9.63, NLD: 3.94, BEL: 1.27, ITA: 1.05, SWE: 0.84, USA: 0.71, ESP: 0.6, FIN: 0.32",0.46,0.0,EUR,89.31,2020-11-13,5.27,10.04,10.06,12.04,8.74,0.48
