edad,ingresos_mensuales,ahorro_mensual,deudas_mensuales,horizonte_inversion,objetivo_financiero,tolerancia_riesgo,estabilidad_ingresos,conocimiento_inversiones,colchon_seguridad,perfil_riesgo
55,1756.021999952837,1160.785798671252,0.0,largo plazo,3,3,1,2,n,4
19,5738.081811086906,5013.254103754049,0.0,corto plazo,3,1,1,1,s,3
69,3048.11645264388,1638.5585099857717,0.0,corto plazo,3,3,3,4,n,3
18,2278.2303085033645,2278.2303085033645,0.0,medio plazo,3,3,2,3,s,5
54,1455.5225388444242,100.0,0.0,largo plazo,2,3,1,4,s,5
49,951.1897748706944,951.1897748706944,0.0,largo plazo,1,3,1,1,n,3
44,2151.1912985599965,908.5006025948584,0.0,medio plazo,1,3,3,2,s,3
26,2452.7141326081864,1241.5265077155043,1060.5992193703046,corto plazo,3,2,1,2,n,3
22,2120.519661426385,1580.3827772701443,0.0,corto plazo,2,2,3,2,n,3
50,1917.3959468477965,1140.0013187474085,765.0450189133975,corto plazo,2,3,1,1,n,2
20,2048.655316941975,1498.012992566482,0.0,medio plazo,2,3,1,4,s,5
45,2681.301714257893,2681.301714257893,0.0,corto plazo,3,3,3,3,s,4
18,2584.518143623146,2069.54349298702,0.0,corto plazo,3,1,2,3,n,3
42,1377.8795781803542,423.8949384570748,0.0,corto plazo,1,2,2,3,n,3
54,1195.0891164395225,232.3233451922409,0.0,corto plazo,1,1,1,3,s,3
36,1749.9999873943734,1074.496799842612,0.0,corto plazo,2,2,2,3,s,4
57,2635.995780219502,1291.934826387795,0.0,medio plazo,2,3,1,4,s,5
64,2283.0594805053192,1467.608557548681,0.0,corto plazo,1,1,2,3,n,2
61,2141.804540070673,920.6872399482118,0.0,corto plazo,1,3,1,4,n,3
28,970.3054158943996,100.0,0.0,corto plazo,1,3,3,4,n,3
66,2751.293720211824,2751.293720211824,1473.7483485238754,largo plazo,3,2,3,1,s,2
45,1220.3261498118345,100.0,0.0,corto plazo,2,3,2,1,s,2
63,1211.140874337064,685.3528346031163,0.0,medio plazo,3,2,3,3,n,3
68,2320.676959804689,836.84224611285,1030.670790791783,largo plazo,3,2,1,1,s,3
44,2775.022649206623,1329.7567311960834,0.0,largo plazo,3,3,2,2,n,4
46,2535.173807500786,1866.4074761117088,992.6267969107424,medio plazo,3,3,1,3,s,5
53,1554.4293822696725,100.0,0.0,medio plazo,2,1,2,3,n,2
40,1611.010407316383,983.709076408252,0.0,medio plazo,1,3,2,2,s,4
60,2342.3540195175474,2342.3540195175474,467.47990695304816,medio plazo,1,1,1,4,s,4
30,2328.1094647031305,1576.1454577256368,0.0,corto plazo,1,1,2,1,n,2
30,2325.3944395842263,965.0296931403597,0.0,corto plazo,3,1,3,3,s,4
21,1064.6405091816102,1064.6405091816102,768.4334093804302,corto plazo,2,1,1,3,n,3
40,1866.9207679310143,1164.5010591398975,0.0,largo plazo,2,1,1,3,n,4
50,2234.3234478365475,2234.3234478365475,526.2836763050584,largo plazo,1,2,3,1,s,2
62,2142.4828369850734,949.8565269413868,0.0,largo plazo,3,2,2,1,s,3
69,1293.0235356368398,100.0,792.3749102530842,corto plazo,3,2,1,1,n,1
47,1543.132492118319,660.411236314108,539.0054297259574,medio plazo,1,1,3,3,s,3
55,1940.1797816539624,100.0,840.6566512961404,corto plazo,3,2,1,2,n,2
61,2141.099424605295,1158.6966807612812,0.0,largo plazo,3,1,2,2,s,4
40,2048.655316941975,482.7794737783095,0.0,corto plazo,2,3,2,3,s,4
58,2187.677925320225,1139.326636659055,0.0,medio plazo,1,1,2,2,s,3
53,860.9673856685613,100.0,0.0,corto plazo,3,1,1,4,n,3
24,2592.463559931288,1918.8487577672404,443.77346795213697,largo plazo,3,2,2,2,n,4
57,6158.102592712383,5360.892494219653,0.0,medio plazo,2,2,3,2,s,3
32,2468.908331914611,1182.8040358582543,0.0,largo plazo,1,2,3,2,s,4
61,2386.585956127542,115.92155206265396,0.0,corto plazo,2,1,1,2,n,2
49,1856.744633047264,986.7185179595564,0.0,corto plazo,2,3,3,3,s,4
26,1609.403793272409,519.9559094542076,0.0,largo plazo,3,1,2,2,s,5
49,2658.98067345878,2023.2877335485584,0.0,medio plazo,1,3,1,1,n,3
67,2635.345242373197,1838.4390498926416,0.0,medio plazo,1,2,3,2,s,3
27,1395.9496096437888,1395.9496096437888,0.0,corto plazo,2,1,2,1,s,3
51,1039.2255404946748,100.0,0.0,corto plazo,2,1,2,3,n,2
34,3556.2824408949164,2646.956202416184,347.2490361186486,medio plazo,2,1,1,3,n,3
46,2643.290180195392,1650.462582080547,1023.692084790948,medio plazo,1,2,2,3,s,3
55,1009.073927784194,100.0,0.0,medio plazo,1,1,3,4,n,2
28,6961.017593970757,5528.4709784357,0.0,corto plazo,2,3,3,3,s,4
61,1693.9588343953633,387.67537956165074,0.0,corto plazo,2,3,2,3,n,3
34,2031.485957122352,711.4375219755059,0.0,medio plazo,2,2,2,1,s,3
29,1605.501936404074,252.0955726667248,0.0,medio plazo,3,2,3,4,n,3
43,2918.6586302378005,2918.6586302378005,373.3351487984952,corto plazo,2,3,3,1,n,2
